Created At,Updated At,Location,What was it like playing the game? | I would tell someone who is representing themselves in court to play this game.,What was it like playing the game? | I learned something about going to court.,What was it like playing the game? | I enjoyed playing the game.,What was it like playing the game? | It would have been helpful to play this game before going to court.,Tell us anything else we should know about playing the game.,Have you ever been involved in a court case before?,"If yes, how were you involved?"
4/16/16 4:57,4/16/16 4:57,United Kingdom,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
4/16/16 4:58,4/16/16 4:58,United Kingdom,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Good learning material for those going to court in US.,No,
4/20/16 6:38,4/20/16 6:38,United Kingdom,Agree,Agree,Agree,Neutral,It would have been interesting to see how the judge ruled on the case at the end and how I did as a player.,No,
4/20/16 9:50,4/20/16 9:50,Connecticut,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,"At the beginning, explain who each of the people in the game are, and where they are located in the courtroom.  Also, this video seems geared towards small claims and civil cases, but doesn't explain that anywhere.  The procedures are different in most family courts, which should be made clear. Even in civil cases, things vary from court to court, so it may be helpful to have a disclaimer that not all courts have Court Service Centers, not all Courts have you check in at the Clerk's Office, etc. In addition, the game seems to suggest that there is no benefit to reaching a settlement or reviewing a proposed settlement agreement - in many cases, meeting with the other side and working out a settlement can be best for everyone involved.  In some Courts, it is required.    ",Yes,I am an attorney and I work for the CT Judicial Branch.
4/20/16 11:25,4/20/16 11:25,Australia,Strongly Agree,Neutral,Somewhat Agree,Neutral,,Yes,
4/20/16 12:00,4/20/16 12:00,United Kingdom,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,,No,
4/20/16 13:41,4/20/16 13:41,United Kingdom,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,Yes,Defendant
4/20/16 15:04,4/20/16 15:04,United Kingdom,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Toilet before hearing is a good idea. ,Yes,Lawyer
4/20/16 15:37,4/20/16 15:37,United Kingdom,Somewhat Agree,Agree,Neutral,Somewhat Agree,"The game is very simple, yet informative to those who are not working in the legal world. However, it is much too simple that I personally cannot do anything else besides clicking. Overall, this is very good beginner's game.",No,
4/20/16 18:42,4/20/16 18:42,Trinidad and Tobago,Agree,Agree,Agree,Agree,,Yes,defendant
4/21/16 4:26,4/21/16 4:26,Malaysia,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,,No,
4/21/16 22:37,4/21/16 22:37,Malaysia,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Bring in some complications eg. witness does not turn up or the nature of the repairs to the car were different.,No,
4/22/16 4:49,4/22/16 4:49,United Kingdom,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
4/25/16 10:35,4/25/16 10:35,Malaysia,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,should make it more interesting like adding more outcomes,No,
4/25/16 11:34,4/25/16 11:34,Kansas,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Maybe there should be 2 paths to go down. So you can see what it is like to lose and win. ,Yes,I have been the defendent and also a witness. 
4/25/16 15:00,4/25/16 15:00,Connecticut,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,IT IS A LITTLE BIT TO LONG,No,N/A
4/26/16 7:54,4/26/16 7:54,United Kingdom,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
4/28/16 10:09,4/28/16 10:09,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,um so i am going to court i am 14 year old and i didn't now what to do so this game is helpful now i know what em  ,No,no is not me is my cousin for sexual abuse
4/29/16 15:56,4/29/16 15:56,California,Neutral,Neutral,Neutral,Neutral,uoccuu uckcu u. tj xkfl hrsah ucyadju ,Yes,oigucbyf yzsjtyd ydiuvy
5/2/16 15:36,5/2/16 15:36,Connecticut,Disagree,Neutral,Neutral,Somewhat Disagree,"When a member of the public goes to the Court Service Center for assistance the staff will go over the paperwork and inform the person whether or not there are fees associated with the paperwork. If the person responds that he or she can not afford to pay the fees Court Service Center staff will provide the person with that paperwork. Some court locations require proff of income be submitted with the fee waiver so if someone is unsure he or she should call the court before taking a trip to the court. Court Service Center staff will also notarize the forms as long as the person has proper identification. Unlike the game Court Service Center staff would not send a person to the clerk without all the proper paperwork otherwise the person will be going back and forth and that is not good customer service. We do not send people to the clerk or to an attorney to have documents notarize when Court Service Centers provide this service. Please refer to the judical website to see our services. Also the came explains to a person that once he or she receives notice of the outcome of their court case the Court Service Center staff can explain what the order means if he or she does not understand. Explaining a court order might be considered an interpretation of the law and I am not sure that Court Service Center staff are allowed to do ""advise"". Many judicial districts are large and a person's courtroom assignment may not necessarily be on their court paperwork. He or she can check either the Public Information Desk at their assigned courthouse if there is an information desk or the person can check with the Clerk's office or Court Service Center for the courtroom assignment.",Yes,"I have beena plaintiff in a family matter, plaintiff in a civil matter and also a defendant in a civil matter (personal injury)."
5/3/16 11:02,5/3/16 11:02,Florida,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Yes,
5/4/16 17:20,5/4/16 17:20,California,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"It is different from law here in California in terms of subpoenas and the fee waiver, but everything else is really helpful.",Yes,Plaintiff's counsel
5/7/16 19:27,5/7/16 19:27,United Kingdom,Agree,Agree,Agree,Agree,,No,
5/8/16 14:59,5/8/16 14:59,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,know your facts,Yes,I was they where going after
